timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1612006745900,1403,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-3,text,true,,1053661,124,40,40,https://www.zalando.at/herren-home/,836,0,751
1612006746771,849,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-14,text,true,,961091,124,40,40,https://www.zalando.at/herren-home/,178,0,71
1612006747819,677,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-41,text,true,,1012853,124,80,80,https://www.zalando.at/herren-home/,173,0,64
1612006749315,502,Search for jeans,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-3,text,true,,419606,127,80,80,https://www.zalando.at/herren/?q=jeans,444,0,0
1612006749822,697,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-3,text,true,,993786,124,120,120,https://www.zalando.at/herren-home/,85,0,40
1612006750501,296,Search for jeans,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-41,text,true,,422570,127,120,120,https://www.zalando.at/herren/?q=jeans,236,0,0
1612006750798,623,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-41,text,true,,1016733,124,120,120,https://www.zalando.at/herren-home/,96,0,52
1612006751943,795,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-121,text,true,,963881,124,160,160,https://www.zalando.at/herren-home/,111,0,62
1612006752740,651,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-8,text,true,,1038052,124,160,160,https://www.zalando.at/herren-home/,106,0,62
1612006754007,724,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-161,text,true,,1046665,124,200,200,https://www.zalando.at/herren-home/,162,0,66
1612006755407,271,Search for jeans,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-8,text,true,,422571,127,200,200,https://www.zalando.at/herren/?q=jeans,211,0,0
1612006755408,874,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-18,text,true,,1015977,124,240,240,https://www.zalando.at/herren-home/,166,0,62
1612006756067,677,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-201,text,true,,967496,124,240,240,https://www.zalando.at/herren-home/,128,0,53
1612006756734,492,Search for jeans,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-161,text,true,,419620,127,240,240,https://www.zalando.at/herren/?q=jeans,429,0,0
1612006757228,719,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-161,text,true,,1007784,124,240,240,https://www.zalando.at/herren-home/,103,0,44
1612006757949,740,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-22,text,true,,991716,124,280,280,https://www.zalando.at/herren-home/,116,0,71
1612006758130,760,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-241,text,true,,1056551,124,280,280,https://www.zalando.at/herren-home/,107,0,51
1612006758692,671,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-28,text,true,,963213,124,280,280,https://www.zalando.at/herren-home/,117,0,63
1612006759366,693,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-29,text,true,,989142,124,280,280,https://www.zalando.at/herren-home/,120,0,65
1612006759953,259,Search for jeans,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-161,text,true,,422583,127,319,317,https://www.zalando.at/herren/?q=jeans,198,0,0
1612006760703,270,Search for jeans,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-22,text,true,,419582,127,320,320,https://www.zalando.at/herren/?q=jeans,211,0,0
1612006760705,767,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-32,text,true,,1057864,124,320,320,https://www.zalando.at/herren-home/,109,0,55
1612006760977,675,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-22,text,true,,948578,124,320,320,https://www.zalando.at/herren-home/,96,0,49
1612006761376,344,Search for jeans,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-28,text,true,,422619,127,320,320,https://www.zalando.at/herren/?q=jeans,258,0,0
1612006761377,796,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-36,text,true,,948117,124,320,320,https://www.zalando.at/herren-home/,189,0,112
1612006762064,273,Search for jeans,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-29,text,true,,422561,127,360,360,https://www.zalando.at/herren/?q=jeans,207,0,0
1612006762339,726,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-29,text,true,,1011712,124,360,360,https://www.zalando.at/herren-home/,119,0,57
1612006763657,295,Search for jeans,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-22,text,true,,419617,127,360,360,https://www.zalando.at/herren/?q=jeans,235,0,0
